Study,Year,PMID,TP,FP,FN,TN, Cofactor,
Goodman, 1995, 7754875, 7, 1, -, -, 'CTPA',
Remy-Jardin, 1996, 8756918, 39, 0, -, -, 'CTPA',
van Rossum, 1998, 9769837, 8, 1, -, -, 'CTPA',
Garg, 1998, 9646814, 4, 0, -, -, 'CTPA',
Qanadli, 2000, 11058644, 3, 1, -, -,  'CTPA',
Ruiz, 2003, 12664123, 21,  7, -, -, 'CTPA',
Van Strijen, 2005, 15634261, 88, 17, -, -, 'CTPA',
PIOPED II, 2006, 16738268, 2, 6, -, -, 'CTPA',
